Optimizer,Particles,F1_mean,F1_std,Recall_mean,Recall_std,Precision_mean,Precision_std,AUC_mean,AUC_std,Train_Time_mean
PSO,75,90.98,0.32,96.74,0.38,85.87,0.44,95.99,0.27,2294.77
GWO,75,90.89,0.28,98.08,0.31,84.69,0.48,90.04,0.52,1486.32
ABC,75,90.53,0.41,97.12,0.35,84.77,0.46,95.37,0.38,26273.45
CS,75,90.90,0.35,96.50,0.40,85.90,0.42,96.10,0.29,2385.61
PSO,50,90.47,0.36,96.93,0.40,,,,1532.18
GWO,50,90.41,0.33,98.56,0.29,,,,991.08
ABC,50,90.61,0.32,96.64,0.42,,,,17515.63
CS,50,90.30,0.38,96.50,0.41,,,,1590.74
PSO,40,90.33,0.35,96.74,0.39,,,,1225.44
GWO,40,90.41,0.34,97.22,0.37,,,,792.64
ABC,40,89.87,0.40,98.66,0.28,,,,14012.48
CS,40,90.30,0.36,96.60,0.41,,,,1272.59
PSO,30,90.78,0.31,94.92,0.45,,,,918.66
GWO,30,90.83,0.29,97.32,0.35,,,,594.48
ABC,30,89.97,0.41,97.22,0.38,,,,10509.36
CS,30,90.90,0.28,95.70,0.43,,,,954.44
